name,TypeScript,C++,Svelte,JavaScript,C#,Python,C,Dart,Vue,TeX,HTML,SCSS,Shell,CSS,CMake,Q#,Swift,Makefile,Batchfile,PowerShell,Dogescript,Kotlin,Rust,Objective-C,Total,
Mini-Vector-Calculator,0,0,0,0,0,0,34951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34951,
Website-Vector-Calculator,10299,0,0,0,0,0,0,0,0,0,2797,0,0,593,0,0,0,0,0,0,0,0,0,0,13689,
Leomotors,19349,0,19929,6748,0,0,0,0,0,0,1257,758,225,59,0,0,0,0,0,0,0,0,0,0,48325,
Salim-Bot,32345,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,32522,
Polynomial-Problems-Generator,0,33793,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,682,0,0,0,0,0,0,34626,
Wave-Interference-Simulation,0,0,0,0,0,4847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847,
Memers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,353,
Discord-Polynomial-Master,0,0,0,12726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12726,
Game-That-Has-Snake,0,0,0,0,0,6819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6819,
Simple-RLC-Calculator,0,0,0,0,0,20196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20196,
NSM2021-SmartWheelChair-Arduino,0,10614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10614,
NSM2021-SmartWheelChair-MobileApp,0,0,0,0,0,0,0,31951,0,0,3745,0,0,0,0,0,404,0,0,0,0,154,0,38,36292,
salim-quote-delivery,3856,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5286,
daily_salim_quote,0,0,0,0,0,0,0,9348,0,0,3713,0,0,0,0,0,404,0,0,0,0,136,0,38,13639,
My-ASCII-Adventure,0,0,0,0,0,3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638,
RTX-2090-TiFy,0,38496,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,618,0,0,0,0,0,41125,
Website-Vector-Calculator-2,4039,0,8159,3253,0,0,0,0,0,0,406,3240,0,1020,0,0,0,0,0,0,0,0,0,0,20117,
dotfiles,0,0,0,0,0,0,0,0,0,0,0,0,5053,0,0,0,0,0,0,458,0,0,0,0,5511,
THIS-REPO-HAS-9-ISSUES,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,
Language-Stats,1421,0,0,1641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3062,
Battleship-SIMP,5890,0,0,5106,0,0,0,0,18371,0,588,1383,0,0,0,0,0,0,0,0,0,0,0,0,31338,
my-repos,4233,0,0,494,0,0,0,0,10508,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,15929,
Terminal-Video-Player,0,15424,0,0,0,0,3088,0,0,0,0,0,0,0,2069,0,0,0,0,0,0,0,0,0,20581,
